YEAR/MONTH,RAINFALL_KONKAN & GOA,RAINFALL_MADHYA MAHARASHTRA,RAINFALL_MARATHVADA,RAINFALL_VIDHARBA,RAINFALL_CHHATTISGARH
Aug-44,658.6,227.8,116,370.6,439.8
Sep-44,85.7,142.1,167,213.2,247.7
Oct-44,177,115.3,94.5,67.4,142.8
Nov-44,14.1,13.6,15.2,16.5,7.5
Dec-44,0,0,0,0,0.1
Jan-45,8.8,4.2,1.8,13.8,30.1
Feb-45,0,0,0,0.4,7.6
Mar-45,0,0,0,0,0
Apr-45,0.9,9.8,5,24.6,58.6
May-45,1.1,5.2,0.3,3.3,7
Jun-45,733.2,125.6,129.6,147,200.7
Jul-45,1394.2,263.7,140.2,404.7,428.5
Aug-45,709.4,209,154.4,299.6,397.2
Sep-45,348.4,132.4,161.9,274.2,376.6
Oct-45,44.9,37.1,27.7,30.3,71.9
Nov-45,3.6,6.3,1.3,0.6,6.4
Dec-45,0,0,0,1.1,0.9
Jan-46,0,0,0,0,0
Feb-46,0,2.9,9.7,14.2,11
Mar-46,0,0,1.9,0.7,2.3
Apr-46,14.4,22,21.3,15.5,35.3
May-46,30,34.3,16.3,9.7,25.3
Jun-46,787.9,138.4,165.6,237,307.9
Jul-46,1085.7,288.5,212.4,376.9,419.9
Aug-46,878.9,255.9,114.5,292.4,522.5
Sep-46,334,170.3,180.1,107.4,181.6
Oct-46,47.3,23.1,6.8,8.6,63.9
Nov-46,170.4,152.8,98.2,97.6,29
Dec-46,10.4,15.4,21.9,13,0.4
Jan-47,4.9,18.7,28,35,31
Feb-47,0,1.4,22,26.7,29.9
Mar-47,5.8,4.4,7.7,23.7,12
Apr-47,67.3,31,11.5,7.8,6.7
May-47,7.5,19.6,2,5.3,9.7
Jun-47,398.3,63,65.7,112.1,140.1
Jul-47,1133.9,230.6,164.5,406,510.6
Aug-47,919.2,272.8,276,345.8,476.4
Sep-47,497.5,216.2,253.3,167.8,283.2
